"","sampleID","GSM","bs1","bs2","bs3","IP","species","type"
"1",1798,"GSM530666","IMR90","Fibroblast","Lung","DNase","human","ca"
"2",1799,"GSM530665","IMR90","Fibroblast","Lung","DNase","human","ca"
"3",1800,"GSM468801","IMR90","Fibroblast","Lung","DNase","human","ca"
"4",1801,"GSM468792","IMR90","Fibroblast","Lung","DNase","human","ca"
"5",1890,"GSM665801","iPS DF 19.11","iPSC","Foreskin","DNase","human","ca"
"6",1898,"GSM665800","iPS DF 19.7","iPSC","None","DNase","human","ca"
"7",1899,"GSM665803","iPS DF 4.7","iPSC","None","DNase","human","ca"
"8",1900,"GSM665802","iPS DF 6.9","iPSC","None","DNase","human","ca"
"9",3090,"GSM701541","None","Monocyte","Blood","DNase","human","ca"
"10",3091,"GSM701540","None","T Lymphocyte","Blood","DNase","human","ca"
"11",3092,"GSM701539","None","T Lymphocyte","Blood","DNase","human","ca"
"12",3093,"GSM701538","None","None","Fetal Stomach","DNase","human","ca"
"13",3094,"GSM701537","None","T Lymphocyte","Fetal Thymus","DNase","human","ca"
"14",3095,"GSM701536","None","None","Fetal Muscle Back","DNase","human","ca"
"15",3096,"GSM701535","None","None","Fetal Muscle Arm","DNase","human","ca"
"16",3097,"GSM701534","None","Epithelium","Fetal Lung Left","DNase","human","ca"
"17",3098,"GSM701533","None","None","Fetal Muscle Trunk","DNase","human","ca"
"18",3099,"GSM701532","None","Cortex","Fetal Kidney","DNase","human","ca"
"19",3100,"GSM701531","None","Epithelium","Fetal Large Intestine","DNase","human","ca"
"20",3101,"GSM701530","None","Epithelium","Fetal Small Intestine","DNase","human","ca"
"21",3102,"GSM701529","None","Cortex","Fetal Kidney","DNase","human","ca"
"22",3103,"GSM701528","None","None","Fetal Stomach","DNase","human","ca"
"23",3104,"GSM701527","None","Epithelium","Fetal Lung Left","DNase","human","ca"
"24",3105,"GSM701526","None","T Lymphocyte","Cord blood","DNase","human","ca"
"25",3106,"GSM701525","None","T Lymphocyte","Cord blood","DNase","human","ca"
"26",3107,"GSM701524","None","Epithelium","Fetal Lung Left","DNase","human","ca"
"27",3108,"GSM701523","None","Epithelium","Fetal Lung Right","DNase","human","ca"
"28",3109,"GSM701522","None","Epithelium","Upper Limb Muscle","DNase","human","ca"
"29",3110,"GSM701521","None","None","Fetal Stomach","DNase","human","ca"
"30",3111,"GSM701520","None","None","Fetal Renal Pelvis Left","DNase","human","ca"
"31",3112,"GSM701519","None","Cortex","Fetal Kidney Left","DNase","human","ca"
"32",3113,"GSM701518","None","None","Fetal Renal Pelvis Right","DNase","human","ca"
"33",3114,"GSM701517","None","Cortex","Fetal Kidney Right","DNase","human","ca"
"34",3115,"GSM701516","None","T Lymphocyte","Blood","DNase","human","ca"
"35",3116,"GSM701515","None","Epithelium","Kidney","DNase","human","ca"
"36",3117,"GSM701514","None","Epithelium","Fetal Large Intestine","DNase","human","ca"
"37",3118,"GSM701513","None","T Lymphocyte","Fetal Thymus","DNase","human","ca"
"38",3119,"GSM701512","None","Epithelium","Fetal Lung Left","DNase","human","ca"
"39",3120,"GSM701511","None","Cortex","Fetal Kidney","DNase","human","ca"
"40",3121,"GSM701510","None","None","Fetal Renal Pelvis","DNase","human","ca"
"41",3122,"GSM701509","None","Lymphocyte","Spleen","DNase","human","ca"
"42",3123,"GSM701508","None","Natural Killer Cell","Blood","DNase","human","ca"
"43",3124,"GSM701507","None","B Lymphocyte","Spleen","DNase","human","ca"
"44",3125,"GSM701506","None","None","Fetal Muscle Arm","DNase","human","ca"
"45",3126,"GSM701505","None","None","Fetal Muscle Leg","DNase","human","ca"
"46",3127,"GSM701504","None","Epithelium","Fetal Small Intestine","DNase","human","ca"
"47",3128,"GSM701503","None","Monocyte","Blood","DNase","human","ca"
"48",3129,"GSM701502","None","Cortex","Fetal Kidney","DNase","human","ca"
"49",3130,"GSM701501","None","None","Fetal Renal Pelvis","DNase","human","ca"
"50",3131,"GSM701500","None","B Lymphocyte","Blood","DNase","human","ca"
"51",3132,"GSM701499","None","T Lymphocyte","Blood","DNase","human","ca"
"52",3133,"GSM701498","None","None","Fetal Stomach","DNase","human","ca"
"53",3134,"GSM701497","None","T Lymphocyte","Fetal Thymus","DNase","human","ca"
"54",3135,"GSM701496","None","Epithelium","Fetal Small Intestine","DNase","human","ca"
"55",3136,"GSM701495","None","Epithelium","Fetal Large Intestine","DNase","human","ca"
"56",3137,"GSM701494","None","Cortex","Fetal Kidney","DNase","human","ca"
"57",3138,"GSM701493","None","B Lymphocyte","Spleen","DNase","human","ca"
"58",3139,"GSM701492","None","B Lymphocyte","Spleen","DNase","human","ca"
"59",3140,"GSM701491","None","T Lymphocyte","Blood","DNase","human","ca"
"60",3141,"GSM701490","None","Epithelium","Fetal Large Intestine","DNase","human","ca"
"61",3142,"GSM701489","None","T Lymphocyte","Blood","DNase","human","ca"
"62",3143,"GSM701488","None","T Lymphocyte","Blood","DNase","human","ca"
"63",3144,"GSM701487","None","Epithelium","Fetal Small Intestine","DNase","human","ca"
"64",3145,"GSM665840","None","Monocyte","Blood","DNase","human","ca"
"65",3146,"GSM665839","None","T Lymphocyte","Blood","DNase","human","ca"
"66",3147,"GSM665838","None","T Lymphocyte","Blood","DNase","human","ca"
"67",3148,"GSM665837","None","T Lymphocyte","Blood","DNase","human","ca"
"68",3149,"GSM665836","None","Natural Killer Cell","Blood","DNase","human","ca"
"69",3150,"GSM665835","None","Epithelium","Small Intestine","DNase","human","ca"
"70",3151,"GSM665834","None","Epithelium","Kidney","DNase","human","ca"
"71",3152,"GSM665833","None","Epithelium","Fetal Kidney Right","DNase","human","ca"
"72",3153,"GSM665832","None","Epithelium","Lung","DNase","human","ca"
"73",3154,"GSM665831","None","Epithelium","Fetal Heart","DNase","human","ca"
